Time,value
01:36:00,210.87704918032787
01:37:00,196.6439393939394
01:38:00,227.03773584905665
01:39:00,174.1283783783784
01:40:00,175.2948717948718
01:41:00,268.1881188118812
01:42:00,240.00666666666663
01:43:00,229.1769911504425
01:44:00,244.86813186813183
01:45:00,181.4225352112676
01:46:00,200.56603773584905
01:47:00,238.3423423423424
01:48:00,264.6201117318436
01:49:00,216.6095890410959
01:50:00,184.2450980392157
01:51:00,235.7179487179488
01:52:00,245.97894736842105
01:53:00,263.7721518987342
01:54:00,225.0
01:55:00,230.61006289308176
01:56:00,217.0208333333333
01:57:00,213.1942446043165
01:58:00,210.31683168316832
01:59:00,199.59322033898303
02:00:00,204.3469387755102
02:01:00,212.392523364486
02:02:00,209.5679012345679
02:03:00,241.5242718446602
02:04:00,249.19444444444449
02:05:00,242.2941176470588
02:06:00,237.6951219512195
02:07:00,184.75263157894736
02:08:00,169.68992248062017
02:09:00,195.8901098901099
02:10:00,251.42105263157896
02:11:00,212.5
02:12:00,214.3272727272727
02:13:00,254.24324324324328
02:14:00,205.09345794392524
02:15:00,212.7058823529412
02:16:00,190.7292817679558
02:17:00,185.8582089552239
02:18:00,175.7462686567164
02:19:00,212.0967741935484
02:20:00,218.9
02:21:00,181.02325581395348
02:22:00,266.0833333333333
02:23:00,258.3614457831325
02:24:00,227.7530864197531
02:25:00,231.46031746031747
02:26:00,232.34065934065933
02:27:00,205.8089430894309
02:28:00,225.2748538011696
02:29:00,201.72049689441
02:30:00,208.4753086419753
02:31:00,211.53284671532847
02:32:00,229.354609929078
02:33:00,144.90217391304347
02:34:00,226.8563218390805
02:35:00,170.1328125
02:36:00,152.03424657534248
02:37:00,226.75
02:38:00,267.1111111111111
02:39:00,136.43703703703704
02:40:00,222.21818181818185
02:41:00,215.27205882352945
02:42:00,165.32679738562092
02:43:00,203.09473684210528
02:44:00,167.0392156862745
02:45:00,227.2258064516129
02:46:00,132.15897435897435
02:47:00,163.06349206349208
02:48:00,170.99166666666667
02:49:00,175.25190839694656
02:50:00,208.7659574468085
02:51:00,250.0
02:52:00,213.55128205128204
02:53:00,225.68115942028984
02:54:00,185.625
02:55:00,134.75147928994082
02:56:00,159.94782608695652
02:57:00,281.6271186440678
02:58:00,183.04040404040404
02:59:00,213.6185567010309
03:00:00,238.5483870967742
03:01:00,277.40909090909093
03:02:00,273.08620689655174
03:03:00,259.64444444444445
03:04:00,165.60714285714286
03:05:00,243.9787234042553
03:06:00,224.94736842105263
03:07:00,262.22222222222223
03:08:00,173.97368421052633
03:09:00,128.53731343283582
03:10:00,192.21978021978023
03:11:00,134.06614785992218
03:12:00,245.1505376344086
03:13:00,138.09420289855072
03:14:00,139.33009708737865
03:15:00,166.2159090909091
03:16:00,135.8015873015873
03:17:00,160.1523178807947
03:18:00,188.3733333333333
03:19:00,185.2037037037037
03:20:00,180.07207207207207
03:21:00,239.31578947368425
03:22:00,176.9433962264151
